participant,item,mass,answer,group,lang,native,Frequent,LIKERT,MINT,,,,NIVEL
23,nubes,nm,0,L2SP,SP,0,nf,1,16,,,,
23,muertes ,m,0,L2SP,SP,0,f,8,16,,,,
23,arboles,nm,1,L2SP,SP,0,f,7,16,,,,
23,buzones,nm,0,L2SP,SP,0,nf,1,16,,,,
23,calles,nm,0,L2SP,SP,0,f,5,16,,,,
23,carnes ,m,0,L2SP,SP,0,nf,1,16,,,,
23,clases,nm,1,L2SP,SP,0,f,5,16,,,,
24,lapices,nm,1,L2SP,SP,0,f,4,20,,,,B
24,jardines,nm,0,L2SP,SP,0,nf,1,20,,,,
24,coches,nm,0,L2SP,SP,0,f,5,20,,,,
24,paises,nm,0,L2SP,SP,0,f,5,20,,,,
24,caries,nm,0,L2SP,SP,0,nf,2,20,,,,
24,peines,nm,0,L2SP,SP,0,nf,1,20,,,,
24,fuentes,nm,0,L2SP,SP,0,nf,2,20,,,,
24,sobres,nm,1,L2SP,SP,0,nf,2,20,,,,
24,leches ,m,0,L2SP,SP,0,f,4,20,,,,
24,nubes,nm,0,L2SP,SP,0,nf,1,20,,,,
24,muertes ,m,0,L2SP,SP,0,f,5,20,,,,
24,arboles,nm,0,L2SP,SP,0,f,6,20,,,,
24,buzones,nm,0,L2SP,SP,0,nf,1,20,,,,
24,calles,nm,1,L2SP,SP,0,f,5,20,,,,
24,carnes ,m,0,L2SP,SP,0,nf,1,20,,,,
24,clases,nm,0,L2SP,SP,0,f,6,20,,,,
25,lapices,nm,1,L2SP,SP,0,f,5,13,,,,B
25,jardines,nm,0,L2SP,SP,0,nf,2,13,,,,
25,coches,nm,0,L2SP,SP,0,f,3,13,,,,
25,paises,nm,1,L2SP,SP,0,f,3,13,,,,
25,caries,nm,0,L2SP,SP,0,nf,1,13,,,,
25,peines,nm,1,L2SP,SP,0,nf,2,13,,,,
25,fuentes,nm,0,L2SP,SP,0,nf,2,13,,,,
25,sobres,nm,1,L2SP,SP,0,nf,4,13,,,,
25,leches ,m,1,L2SP,SP,0,f,5,13,,,,
25,nubes,nm,0,L2SP,SP,0,nf,2,13,,,,
25,muertes ,m,0,L2SP,SP,0,f,5,13,,,,
25,arboles,nm,0,L2SP,SP,0,f,6,13,,,,
25,buzones,nm,0,L2SP,SP,0,nf,2,13,,,,
25,calles,nm,1,L2SP,SP,0,f,6,13,,,,
25,carnes ,m,0,L2SP,SP,0,nf,3,13,,,,
25,clases,nm,1,L2SP,SP,0,f,7,13,,,,
26,lapices,nm,1,L2SP,SP,0,f,6,16,,,,B
26,jardines,nm,0,L2SP,SP,0,nf,3,16,,,,
26,coches,nm,0,L2SP,SP,0,f,6,16,,,,
26,paises,nm,0,L2SP,SP,0,f,6,16,,,,
26,caries,nm,1,L2SP,SP,0,nf,2,16,,,,
26,peines,nm,0,L2SP,SP,0,nf,1,16,,,,
26,fuentes,nm,1,L2SP,SP,0,nf,2,16,,,,
26,sobres,nm,0,L2SP,SP,0,nf,2,16,,,,
26,leches ,m,0,L2SP,SP,0,f,4,16,,,,
26,nubes,nm,0,L2SP,SP,0,nf,3,16,,,,
26,muertes ,m,0,L2SP,SP,0,f,5,16,,,,
26,arboles,nm,0,L2SP,SP,0,f,5,16,,,,
26,buzones,nm,0,L2SP,SP,0,nf,2,16,,,,
26,calles,nm,1,L2SP,SP,0,f,6,16,,,,
26,carnes ,m,0,L2SP,SP,0,nf,2,16,,,,
26,clases,nm,0,L2SP,SP,0,f,5,16,,,,
27,lapices,nm,1,L2SP,SP,0,f,7,35,,,,I
27,jardines,nm,0,L2SP,SP,0,nf,5,35,,,,
27,coches,nm,1,L2SP,SP,0,f,8,35,,,,
27,paises,nm,1,L2SP,SP,0,f,8,35,,,,
27,caries,nm,1,L2SP,SP,0,nf,6,35,,,,
27,peines,nm,1,L2SP,SP,0,nf,3,35,,,,
27,fuentes,nm,0,L2SP,SP,0,nf,3,35,,,,
27,sobres,nm,0,L2SP,SP,0,nf,3,35,,,,
27,leches ,m,1,L2SP,SP,0,f,6,35,,,,
27,nubes,nm,1,L2SP,SP,0,nf,2,35,,,,
27,muertes ,m,1,L2SP,SP,0,f,7,35,,,,
